,field_1,Id,Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,ISO,Region,Location,Latitude,Longitude,Origin,Associated Dis2,Dis Mag Value,Dis Mag Scale,River Basin,Start Year,Start Month,Start Day,Start Date,End Year,End Month,End Day,End Date,Total Deaths,No Homeless,Total Affected,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,cartodb_id,iso_2,name_0,gid_1,name_1,nl_name_1,gid_2,name_2,varname_2,nl_name_2,type_2,engtype_2,cc_2,hasc_2,bbox,centroid,area,area_ha,gid_0,LONGIT,LATIT\
1203,2194,1892,2011-0504-KEN,2011,504,FL-2011-000184,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Busia, Kakamega districts (Western province), Siaya, Kisumu, Rachuonyo, Central Kisii districts (Nyanza province), Tana River district (Coast province), Baringo, Keiyo, West Pokot, Samburu, Marakwet districts (Rift Valley province), Moyale, Marsabit, Isiolo districts (Eastern province), Wajir district (North Eastern province), Muranga district (Central province)",-0.495278195,34.70947811,Heavy raisn and storms,,9789,Km2,,2011,11,29,29/11/2011,2011,12,22,22/12/2011,25,0,91692,2,,51336;51346;51348;51352;51357;51364;51366;51369;51374;51375;51377;51381;51385;51389;51394;51396;51398, Rachuonyo,20632,KEN,Kenya,KEN.8_1,Homa Bay,,KEN.8.4_1,Kasipul,,,Constituency,Constituency,245,,"{""type"":""Polygon"",""coordinates"":[[[34.62865067,-0.59873635],[34.62865067,-0.39751723],[34.79618073,-0.39751723],[34.79618073,-0.59873635],[34.62865067,-0.59873635]]]}","{""type"":""Point"",""coordinates"":[34.7094781098525,-0.495278195017545]}",259929923.9,25817.06614,KEN,34.70947811,-0.495278195
1204,2195,1961,2012-0166-KEN,2012,166,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Kitengela, Athi River areas (Machakos district, Eastern province), Ngong town (Kajiado district, Rift Valley province), Bura, Garsen, Bangale areas (Tana River district, Coast province), Homa Bay, Kisumu, Suba, Nyando, Rachuonyo, Migori districts (Nyanza province), Busia district (Western province), Thika district (Central province), Nakuru district (Rift Valley province), Malindi district (Coast province)",-0.495278195,34.70947811,Torrential rain,,12660,Km2,,2012,4,20,20/04/2012,2012,5,16,16/05/2012,73,0,280670,2,,51339;51343;51346;51350;51368;51369;51371;51373;51374;51376;51380;51386;51396, Rachuonyo,20632,KEN,Kenya,KEN.8_1,Homa Bay,,KEN.8.4_1,Kasipul,,,Constituency,Constituency,245,,"{""type"":""Polygon"",""coordinates"":[[[34.62865067,-0.59873635],[34.62865067,-0.39751723],[34.79618073,-0.39751723],[34.79618073,-0.59873635],[34.62865067,-0.59873635]]]}","{""type"":""Point"",""coordinates"":[34.7094781098525,-0.495278195017545]}",259929923.9,25817.06614,KEN,34.70947811,-0.495278195
1218,2174,1960,2012-0166-KEN,2012,166,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Kitengela, Athi River areas (Machakos district, Eastern province), Ngong town (Kajiado district, Rift Valley province), Bura, Garsen, Bangale areas (Tana River district, Coast province), Homa Bay, Kisumu, Suba, Nyando, Rachuonyo, Migori districts (Nyanza province), Busia district (Western province), Thika district (Central province), Nakuru district (Rift Valley province), Malindi district (Coast province)",-0.453486619,34.18118989,Torrential rain,,12660,Km2,,2012,4,20,20/04/2012,2012,5,16,16/05/2012,73,0,280670,2,,51339;51343;51346;51350;51368;51369;51371;51373;51374;51376;51380;51386;51396, Suba,20633,KEN,Kenya,KEN.8_1,Homa Bay,,KEN.8.5_1,Mbita,,,Constituency,Constituency,251,,"{""type"":""Polygon"",""coordinates"":[[[33.92934418,-0.66846383],[33.92934418,-0.33414021],[34.44821548,-0.33414021],[34.44821548,-0.66846383],[33.92934418,-0.66846383]]]}","{""type"":""Point"",""coordinates"":[34.1811898920098,-0.453486618502528]}",1034941046,102794.7715,KEN,34.18118989,-0.453486619
1220,2227,938,2004-0194-KEN,2004,194,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Nairobi district (Nairobi province), Tana River, Taita Taveta districts (Coast province), Nakuru, Baringo, Turkana, Marakwet districts (Rift Valley province), Machakos district (Eastern province), Nyamira, Nyando, Rachuonyo, Kisumu, Migori, Homa Bay districts (Nyanza province) ",-0.453486619,34.18118989,Heavy rains,,268300,Km2,"Nyando, Mahenya, Sondu-Miriu, Sio, Awach, Ombeyi, Migori and Kuja, Tonde, Chemoron, Endao, Miriu, Athi, Nzoia, Thirikwa, Ndarugu, Thiriku, Ruamuthambi, Kirichwa, Ruarakaother, Athi",2004,4,9,09/04/2004,2004,5,11,11/05/2004,50,0,10000,2,,51345;51346;51350;51360;51368;51369;51371;51372;51373;51374;51377;51385;51386;51392, Homa Bay,20633,KEN,Kenya,KEN.8_1,Homa Bay,,KEN.8.5_1,Mbita,,,Constituency,Constituency,251,,"{""type"":""Polygon"",""coordinates"":[[[33.92934418,-0.66846383],[33.92934418,-0.33414021],[34.44821548,-0.33414021],[34.44821548,-0.66846383],[33.92934418,-0.66846383]]]}","{""type"":""Point"",""coordinates"":[34.1811898920098,-0.453486618502528]}",1034941046,102794.7715,KEN,34.18118989,-0.453486619
1221,2228,1666,2009-0597-KEN,2009,597,FL-2010-000003,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Nairobi district (Nairobi province), Turkana, Laikipia, Kajiado, Koibatek, Baringo, Narok, West Pokot, Kericho, Keiyo, Marakwet, Samburu, Nakuru districts (Rift Valley province), Kilifi, Tana River, Taita Taveta districts (Coast province), Nyando district (Nyanza province), Kiambu district (Central province), Isiolo, Makueni districts (Eastern province), Homa Bay district (Nyanza province) ",-0.453486619,34.18118989,Heavy rain,,0,Km2,,2009,12,24,24/12/2009,2010,1,12,12/01/2010,40,0,91350,2,,51333;51340;51345;51346;51348;51351;51360;51368;51373;51377;51380;51381;51382;51383;51384;51385;51386;51388;51389;51392;51394, Homa Bay,20633,KEN,Kenya,KEN.8_1,Homa Bay,,KEN.8.5_1,Mbita,,,Constituency,Constituency,251,,"{""type"":""Polygon"",""coordinates"":[[[33.92934418,-0.66846383],[33.92934418,-0.33414021],[34.44821548,-0.33414021],[34.44821548,-0.66846383],[33.92934418,-0.66846383]]]}","{""type"":""Point"",""coordinates"":[34.1811898920098,-0.453486618502528]}",1034941046,102794.7715,KEN,34.18118989,-0.453486619
1222,2229,1962,2012-0166-KEN,2012,166,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Kitengela, Athi River areas (Machakos district, Eastern province), Ngong town (Kajiado district, Rift Valley province), Bura, Garsen, Bangale areas (Tana River district, Coast province), Homa Bay, Kisumu, Suba, Nyando, Rachuonyo, Migori districts (Nyanza province), Busia district (Western province), Thika district (Central province), Nakuru district (Rift Valley province), Malindi district (Coast province)",-0.453486619,34.18118989,Torrential rain,,12660,Km2,,2012,4,20,20/04/2012,2012,5,16,16/05/2012,73,0,280670,2,,51339;51343;51346;51350;51368;51369;51371;51373;51374;51376;51380;51386;51396, Homa Bay,20633,KEN,Kenya,KEN.8_1,Homa Bay,,KEN.8.5_1,Mbita,,,Constituency,Constituency,251,,"{""type"":""Polygon"",""coordinates"":[[[33.92934418,-0.66846383],[33.92934418,-0.33414021],[34.44821548,-0.33414021],[34.44821548,-0.66846383],[33.92934418,-0.66846383]]]}","{""type"":""Point"",""coordinates"":[34.1811898920098,-0.453486618502528]}",1034941046,102794.7715,KEN,34.18118989,-0.453486619
1224,2231,2182,2015-0159-KEN,2015,159,FL-2015-000049,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Narok district (Rift Valley province), Kisumu, Central Kisii, Homa Bay districts (Nyanza province), Nairobi district (Nairobi province)",-0.453486619,34.18118989,Heavy rains,,20432,Km2,,2015,4,27,27/04/2015,2015,5,2,02/05/2015,13,0,3000,2,,51360;51366;51368;51369;51388, Homa Bay,20633,KEN,Kenya,KEN.8_1,Homa Bay,,KEN.8.5_1,Mbita,,,Constituency,Constituency,251,,"{""type"":""Polygon"",""coordinates"":[[[33.92934418,-0.66846383],[33.92934418,-0.33414021],[34.44821548,-0.33414021],[34.44821548,-0.66846383],[33.92934418,-0.66846383]]]}","{""type"":""Point"",""coordinates"":[34.1811898920098,-0.453486618502528]}",1034941046,102794.7715,KEN,34.18118989,-0.453486619
1225,2232,2676,2020-0164-KEN,2020,164,,Natural,Hydrological,Flood,,Kenya,KEN,Eastern Africa,"West Pokot, Elgeyo Marakwet, Kisumu, Homabay, Tana River, Garissa, Kilifi, Kirinyaga, Siaya, Kakamega, Bomet, Nairobi counties",-0.453486619,34.18118989,Heavy rains,,154390,Km2,,2020,4,18,18/04/2020,2020,6,1,01/06/2020,285,0,810655,2,,51334;51340;51346;51360;51361;51368;51369;51375;51378;51385;51394;51398, Homa Bay,20633,KEN,Kenya,KEN.8_1,Homa Bay,,KEN.8.5_1,Mbita,,,Constituency,Constituency,251,,"{""type"":""Polygon"",""coordinates"":[[[33.92934418,-0.66846383],[33.92934418,-0.33414021],[34.44821548,-0.33414021],[34.44821548,-0.66846383],[33.92934418,-0.66846383]]]}","{""type"":""Point"",""coordinates"":[34.1811898920098,-0.453486618502528]}",1034941046,102794.7715,KEN,34.18118989,-0.453486619
1226,2233,2812,2021-0227-KEN,2021,227,,Natural,Hydrological,Flood,,Kenya,KEN,Eastern Africa,"Tana River, Busia, Kisumu, Garissa, Marsabit, Homa Bay, Migori counties",-0.453486619,34.18118989,Long Rains season ,,0,Km2,Tana River basin,2021,4,7,07/04/2021,2021,4,30,30/04/2021,2,0,25958,2,,51346;51352;51361;51368;51369;51371;51396, Homa Bay,20633,KEN,Kenya,KEN.8_1,Homa Bay,,KEN.8.5_1,Mbita,,,Constituency,Constituency,251,,"{""type"":""Polygon"",""coordinates"":[[[33.92934418,-0.66846383],[33.92934418,-0.33414021],[34.44821548,-0.33414021],[34.44821548,-0.66846383],[33.92934418,-0.66846383]]]}","{""type"":""Point"",""coordinates"":[34.1811898920098,-0.453486618502528]}",1034941046,102794.7715,KEN,34.18118989,-0.453486619
1230,2147,934,2004-0152-KEN,2004,152,,Natural,Hydrological,Flood,Flash flood,Kenya,KEN,Eastern Africa,"Nyando district (Nyanza province), Busia district (Western province)",-0.206162957,34.86703055,Heavy rain,,8880,Km2,Nyando,2004,4,9,09/04/2004,2004,4,12,12/04/2004,4,0,2000,2,,51373;51396, Nyando (Adm2). ,20699,KEN,Kenya,KEN.17_1,Kisumu,,KEN.17.6_1,Nyando,,,Constituency,Constituency,242,,"{""type"":""Polygon"",""coordinates"":[[[34.53036499,-0.29241711],[34.53036499,-0.11295068],[35.12962723,-0.11295068],[35.12962723,-0.29241711],[34.53036499,-0.29241711]]]}","{""type"":""Point"",""coordinates"":[34.8670305549363,-0.206162956749073]}",607333295.9,60325.94924,KEN,34.86703055,-0.206162957
1375,1526,1007,2005-0215-KEN,2005,215,,Natural,Hydrological,Flood,Flash flood,Kenya,KEN,Eastern Africa,"Isiolo district (Eastern province), Garissa district (North Eastern province), Western, Nyanza provinces",0.560572991,34.59165955,Heavy rains,,0,Km2,,2005,4,23,23/04/2005,2005,4,26,26/04/2005,1,0,25000,1;2,51330;51332,51348;51361, Western (Adm1). Garissa,20599,KEN,Kenya,KEN.3_1,Bungoma,,KEN.3.3_1,Kanduyi,,,Constituency,Constituency,220,,"{""type"":""Polygon"",""coordinates"":[[[34.49693298,0.42518803],[34.49693298,0.70781493],[34.68441391,0.70781493],[34.68441391,0.42518803],[34.49693298,0.42518803]]]}","{""type"":""Point"",""coordinates"":[34.5916595516351,0.560572990814677]}",321280284.5,31909.90651,KEN,34.59165955,0.560572991
1376,1527,1008,2005-0260-KEN,2005,260,,Natural,Hydrological,Flood,Flash flood,Kenya,KEN,Eastern Africa,"Dadaab town (Garissa district, North Eastern province), Rift Valley, Western provinces",0.560572991,34.59165955,Heavy rains,,0,Km2,,2005,5,18,18/05/2005,2005,5,24,24/05/2005,5,0,10000,1;2,51331;51332,51361, Western (Adm1). Garissa (Adm2). ,20599,KEN,Kenya,KEN.3_1,Bungoma,,KEN.3.3_1,Kanduyi,,,Constituency,Constituency,220,,"{""type"":""Polygon"",""coordinates"":[[[34.49693298,0.42518803],[34.49693298,0.70781493],[34.68441391,0.70781493],[34.68441391,0.42518803],[34.49693298,0.42518803]]]}","{""type"":""Point"",""coordinates"":[34.5916595516351,0.560572990814677]}",321280284.5,31909.90651,KEN,34.59165955,0.560572991
1377,1528,1629,2009-0494-KEN,2009,494,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Mandera district (North Eastern province), Malindi, Tana River districts (Coast province), Nyanza, Western provinces",0.560572991,34.59165955,"El Nino, exceptional heavy rains",,0,Km2,Tana River,2009,10,29,29/10/2009,2009,11,4,04/11/2009,16,0,44850,1;2,51330;51332,51343;51346;51363, Western (Adm1). Malindi,20599,KEN,Kenya,KEN.3_1,Bungoma,,KEN.3.3_1,Kanduyi,,,Constituency,Constituency,220,,"{""type"":""Polygon"",""coordinates"":[[[34.49693298,0.42518803],[34.49693298,0.70781493],[34.68441391,0.70781493],[34.68441391,0.42518803],[34.49693298,0.42518803]]]}","{""type"":""Point"",""coordinates"":[34.5916595516351,0.560572990814677]}",321280284.5,31909.90651,KEN,34.59165955,0.560572991
1378,1529,1776,2010-0285-KEN,2010,285,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Salabani village (Marigat area, Baringo district, Rift Valley province), Western province",0.560572991,34.59165955,,,196100,Km2,,2010,5,8,08/05/2010,2010,5,24,24/05/2010,100,0,70000,1;2,51332,51377,Western (Adm1). Baringo (Adm2). ,20599,KEN,Kenya,KEN.3_1,Bungoma,,KEN.3.3_1,Kanduyi,,,Constituency,Constituency,220,,"{""type"":""Polygon"",""coordinates"":[[[34.49693298,0.42518803],[34.49693298,0.70781493],[34.68441391,0.70781493],[34.68441391,0.42518803],[34.49693298,0.42518803]]]}","{""type"":""Point"",""coordinates"":[34.5916595516351,0.560572990814677]}",321280284.5,31909.90651,KEN,34.59165955,0.560572991
1419,2238,939,2004-0194-KEN,2004,194,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Nairobi district (Nairobi province), Tana River, Taita Taveta districts (Coast province), Nakuru, Baringo, Turkana, Marakwet districts (Rift Valley province), Machakos district (Eastern province), Nyamira, Nyando, Rachuonyo, Kisumu, Migori, Homa Bay districts (Nyanza province) ",-0.579488831,34.92949821,Heavy rains,,268300,Km2,"Nyando, Mahenya, Sondu-Miriu, Sio, Awach, Ombeyi, Migori and Kuja, Tonde, Chemoron, Endao, Miriu, Athi, Nzoia, Thirikwa, Ndarugu, Thiriku, Ruamuthambi, Kirichwa, Ruarakaother, Athi",2004,4,9,09/04/2004,2004,5,11,11/05/2004,50,0,10000,2,,51345;51346;51350;51360;51368;51369;51371;51372;51373;51374;51377;51385;51386;51392, Nyamira,20818,KEN,Kenya,KEN.34_1,Nyamira,,KEN.34.4_1,West Mugirango,,,Constituency,Constituency,271,,"{""type"":""Polygon"",""coordinates"":[[[34.85966873,-0.67256951],[34.85966873,-0.46372911],[35.01979828,-0.46372911],[35.01979828,-0.67256951],[34.85966873,-0.67256951]]]}","{""type"":""Point"",""coordinates"":[34.9294982126894,-0.579488831402277]}",181121486,17989.0664,KEN,34.92949821,-0.579488831
1436,2113,1885,2011-0504-KEN,2011,504,FL-2011-000184,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Busia, Kakamega districts (Western province), Siaya, Kisumu, Rachuonyo, Central Kisii districts (Nyanza province), Tana River district (Coast province), Baringo, Keiyo, West Pokot, Samburu, Marakwet districts (Rift Valley province), Moyale, Marsabit, Isiolo districts (Eastern province), Wajir district (North Eastern province), Muranga district (Central province)",-0.156918086,34.13023931,Heavy raisn and storms,,9789,Km2,,2011,11,29,29/11/2011,2011,12,22,22/12/2011,25,0,91692,2,,51336;51346;51348;51352;51357;51364;51366;51369;51374;51375;51377;51381;51385;51389;51394;51396;51398, Siaya,20834,KEN,Kenya,KEN.38_1,Siaya,,KEN.38.2_1,Bondo,,,Constituency,Constituency,236,,"{""type"":""Polygon"",""coordinates"":[[[33.94990158,-0.33414039],[33.94990158,0.04533383],[34.38319016,0.04533383],[34.38319016,-0.33414039],[33.94990158,-0.33414039]]]}","{""type"":""Point"",""coordinates"":[34.1302393108582,-0.156918085666816]}",1297340174,128864.2168,KEN,34.13023931,-0.156918086
1437,2114,2668,2020-0164-KEN,2020,164,,Natural,Hydrological,Flood,,Kenya,KEN,Eastern Africa,"West Pokot, Elgeyo Marakwet, Kisumu, Homabay, Tana River, Garissa, Kilifi, Kirinyaga, Siaya, Kakamega, Bomet, Nairobi counties",-0.156918086,34.13023931,Heavy rains,,154390,Km2,,2020,4,18,18/04/2020,2020,6,1,01/06/2020,285,0,810655,2,,51334;51340;51346;51360;51361;51368;51369;51375;51378;51385;51394;51398, Siaya,20834,KEN,Kenya,KEN.38_1,Siaya,,KEN.38.2_1,Bondo,,,Constituency,Constituency,236,,"{""type"":""Polygon"",""coordinates"":[[[33.94990158,-0.33414039],[33.94990158,0.04533383],[34.38319016,0.04533383],[34.38319016,-0.33414039],[33.94990158,-0.33414039]]]}","{""type"":""Point"",""coordinates"":[34.1302393108582,-0.156918085666816]}",1297340174,128864.2168,KEN,34.13023931,-0.156918086
1440,2267,813,2002-0265-KEN,2002,265,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Migori, Kisumu, Nyando, Rachuonyo districts (Nyanza province), Kirinyaga, Muranga, Thika districts (Central province), Busia districts (Western province), Ijara district (North Eastern province)",-1.088005716,34.35742608,Heavy rain,,0,Km2,"Mara, Tana, Sabaki",2002,4,26,26/04/2002,2002,5,28,28/05/2002,53,0,150008,2,,51334;51336;51339;51354;51355;51356;51362;51369;51371;51373;51374;51396, Migori,20760,KEN,Kenya,KEN.27_1,Migori,,KEN.27.7_1,Suna West,,,Constituency,Constituency,256,,"{""type"":""Polygon"",""coordinates"":[[[34.24739456,-1.18775237],[34.24739456,-0.992751],[34.50818253,-0.992751],[34.50818253,-1.18775237],[34.24739456,-1.18775237]]]}","{""type"":""Point"",""coordinates"":[34.3574260796131,-1.08800571553302]}",296308044.1,29421.96352,KEN,34.35742608,-1.088005716
1441,2268,871,2003-0204-KEN,2003,204,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Nyando, Kisumu, Rachuonyo, Migori districts (Nyanza province), Busia district (Western province)",-1.088005716,34.35742608,Heavy rains,Broken Dam/Burst bank,100,Km2,,2003,4,0,31/03/2003,2003,5,0,30/04/2003,40,0,60000,2,,51369;51371;51373;51374;51396, Migori,20760,KEN,Kenya,KEN.27_1,Migori,,KEN.27.7_1,Suna West,,,Constituency,Constituency,256,,"{""type"":""Polygon"",""coordinates"":[[[34.24739456,-1.18775237],[34.24739456,-0.992751],[34.50818253,-0.992751],[34.50818253,-1.18775237],[34.24739456,-1.18775237]]]}","{""type"":""Point"",""coordinates"":[34.3574260796131,-1.08800571553302]}",296308044.1,29421.96352,KEN,34.35742608,-1.088005716
1442,2269,942,2004-0194-KEN,2004,194,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Nairobi district (Nairobi province), Tana River, Taita Taveta districts (Coast province), Nakuru, Baringo, Turkana, Marakwet districts (Rift Valley province), Machakos district (Eastern province), Nyamira, Nyando, Rachuonyo, Kisumu, Migori, Homa Bay districts (Nyanza province) ",-1.088005716,34.35742608,Heavy rains,,268300,Km2,"Nyando, Mahenya, Sondu-Miriu, Sio, Awach, Ombeyi, Migori and Kuja, Tonde, Chemoron, Endao, Miriu, Athi, Nzoia, Thirikwa, Ndarugu, Thiriku, Ruamuthambi, Kirichwa, Ruarakaother, Athi",2004,4,9,09/04/2004,2004,5,11,11/05/2004,50,0,10000,2,,51345;51346;51350;51360;51368;51369;51371;51372;51373;51374;51377;51385;51386;51392, Migori,20760,KEN,Kenya,KEN.27_1,Migori,,KEN.27.7_1,Suna West,,,Constituency,Constituency,256,,"{""type"":""Polygon"",""coordinates"":[[[34.24739456,-1.18775237],[34.24739456,-0.992751],[34.50818253,-0.992751],[34.50818253,-1.18775237],[34.24739456,-1.18775237]]]}","{""type"":""Point"",""coordinates"":[34.3574260796131,-1.08800571553302]}",296308044.1,29421.96352,KEN,34.35742608,-1.088005716
1443,2270,1963,2012-0166-KEN,2012,166,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Kitengela, Athi River areas (Machakos district, Eastern province), Ngong town (Kajiado district, Rift Valley province), Bura, Garsen, Bangale areas (Tana River district, Coast province), Homa Bay, Kisumu, Suba, Nyando, Rachuonyo, Migori districts (Nyanza province), Busia district (Western province), Thika district (Central province), Nakuru district (Rift Valley province), Malindi district (Coast province)",-1.088005716,34.35742608,Torrential rain,,12660,Km2,,2012,4,20,20/04/2012,2012,5,16,16/05/2012,73,0,280670,2,,51339;51343;51346;51350;51368;51369;51371;51373;51374;51376;51380;51386;51396, Migori,20760,KEN,Kenya,KEN.27_1,Migori,,KEN.27.7_1,Suna West,,,Constituency,Constituency,256,,"{""type"":""Polygon"",""coordinates"":[[[34.24739456,-1.18775237],[34.24739456,-0.992751],[34.50818253,-0.992751],[34.50818253,-1.18775237],[34.24739456,-1.18775237]]]}","{""type"":""Point"",""coordinates"":[34.3574260796131,-1.08800571553302]}",296308044.1,29421.96352,KEN,34.35742608,-1.088005716
1445,2272,2813,2021-0227-KEN,2021,227,,Natural,Hydrological,Flood,,Kenya,KEN,Eastern Africa,"Tana River, Busia, Kisumu, Garissa, Marsabit, Homa Bay, Migori counties",-1.088005716,34.35742608,Long Rains season ,,0,Km2,Tana River basin,2021,4,7,07/04/2021,2021,4,30,30/04/2021,2,0,25958,2,,51346;51352;51361;51368;51369;51371;51396, Migori,20760,KEN,Kenya,KEN.27_1,Migori,,KEN.27.7_1,Suna West,,,Constituency,Constituency,256,,"{""type"":""Polygon"",""coordinates"":[[[34.24739456,-1.18775237],[34.24739456,-0.992751],[34.50818253,-0.992751],[34.50818253,-1.18775237],[34.24739456,-1.18775237]]]}","{""type"":""Point"",""coordinates"":[34.3574260796131,-1.08800571553302]}",296308044.1,29421.96352,KEN,34.35742608,-1.088005716